country_short,2010,2020,growth_percent
CA,11916.0,20063.0,68.37
GR,2264.0,3642.0,60.87
NE,12.0,19.0,58.33
RO,1975.0,3111.0,57.52
ES,8555.0,13382.0,56.42
SI,659.0,1017.0,54.32
BM,2.0,3.0,50.0
GU,4.0,6.0,50.0
GW,2.0,3.0,50.0
CW,2.0,3.0,50.0
BE,3471.0,5138.0,48.03
IS,142.0,210.0,47.89
TT,36.0,51.0,41.67
FR,14612.0,19362.0,32.51
NI,13.0,17.0,30.77
CN,105706.0,133717.0,26.5
BS,4.0,5.0,25.0
JP,17299.0,21148.0,22.25
RE,17.0,18.0,5.88
TW,7074.0,7156.0,1.16
VE,214.0,127.0,-40.65
GP,24.0,10.0,-58.33
AG,3.0,1.0,-66.67
DJ,3.0,0.0,-100.0
BZ,1.0,0.0,-100.0
IM,2.0,0.0,-100.0
PF,6.0,0.0,-100.0
